link,date_time,original_text,length,geo_hint,engagement_signal,product_hint,stage,primary_breakdown_point,channel,root_cause,emotion,emotion_severity,summary_insight,actionability_score_5,fixability_score_5,evidence_strength
https://twitter.com/kishoritu1434/status/2056733160696938907#m,"May 19, 2026",I had claim for my car and ICICI Lombard rejecte it wrongly.  I request all kindly clear your condition and than buy insurance   If possible than pls buy insurance from responsible company who is care for customer,213,unknown,1,car,Servicing & Policy Admin,Claims Experience,Claims / TPA,Process / Documentation Friction,Anger,High,Event: Claim for car. Process: ICICI Lombard rejected the claim wrongly. Outcome: Claim rejection.,3,2,Medium
https://twitter.com/varpa2010/status/2056047066875625855#m,"May 17, 2026","भाई के वाइफ का 2 वाल्व रिप्लेसमेंट करवाना था Apollo hospital Lucknow mein, हुआ ये था कि उसका icici Lombard से हेल्थ इंश्योरेंस था 25 लाख का पर पॉलिसी 1 साल पुरानी थी और बीमारी डिटेक्ट हुई थी 6 महीने पहले तो कायदे से उसको लाभ मिलना चाहिए था, सारे डॉक्यूमेंट्स प्रॉपर चेक्स के साथ दिए थे थर्ड पार्टी सर्वे करने वाले ने भी हॉस्पिटल आके पूरा वेरिफिकेशन किया था फिर भी insufficient इंफॉर्मेशन ka Mail करके रिजेक्ट कर दिया। मल्टीपल time customer care se baat ki par koi response nahi aaya tha, insufficient information wale pe baat kiya to bole the sab ki call aayegi aapko details bata di jayegi par kuch nahi bataya.",612,"Lucknow, India",2,health,Claims Experience,Claims Rejection,Claims / TPA,Process / Documentation Friction,Resignation,High,"Event: Wife's 2 valve replacement surgery. Process: Had ICICI Lombard health insurance (1 year old policy, illness detected 6 months prior), submitted all documents, third-party surveyor verified. Outcome: Claim rejected due to insufficient information, with no response from customer care despite multiple calls.",4,3,Medium
https://twitter.com/meetnena2/status/2055479436200591810#m,"May 16, 2026",@ICICILombard more than three month pass but ICICI Lombard is not refund my money because we had already cancel this policy but there is a no helpline number where we can talk nor they will call and revet us,207,unknown,1,unknown,Servicing & Policy Admin,Refund Delay,Unknown,Process / Documentation Friction,Resignation,Medium,"Event: Policy cancellation. Process: More than three months have passed since cancellation. Outcome: ICICI Lombard has not refunded the money, and there is no helpline number or response.",4,3,Low
https://twitter.com/gakhar_anuj/status/2055470416957985261#m,"May 16, 2026","poor experience with @ICICILombard & @MaxHealthcare.Booked a health checkup for 9 AM through ICICI Lombard app. Phlebotomist arrived at 7 AM instead, waking up the entire house early morning.Even a sick family member got disturbed. #ICICILombard #MaxHealthcare #CustomerExperience",280,unknown,0,health,Servicing & Policy Admin,Service Request,Digital / App / Website,Process / Documentation Friction,Anger,Medium,"Event: Booked a health checkup. Process: Phlebotomist arrived 2 hours early via ICICI Lombard app. Outcome: Disturbed the entire household, including a sick family member.",3,3,Medium
https://twitter.com/a3mit/status/2055258482090422341#m,"May 15, 2026",Not sure whats the problem to share the details of settlement.a proper bill level summary. icici lombard settled my claims for Rs 3 Lakh without even seeing the original documents. I am discontinuing my 3 policies with CARE now.,228,unknown,2,health,Claims Experience,Claim Settlement,Claims / TPA,Process / Documentation Friction,Resignation,High,Event: Claim settlement. Process: ICICI Lombard settled claims for Rs 3 Lakh without seeing original documents. Outcome: Customer is discontinuing 3 policies with CARE (implying dissatisfaction with the settlement process or outcome).,2,2,Medium
https://twitter.com/Kaifkhan214/status/2055243657222168817#m,"May 15, 2026",@ICICILombard @ICICIDirectcare @ICICIBank @ICICI_Direct I would request all customers not to take ICICI Lombard insurance. It is very poor and creates a lot of problems while giving claims. Please do not choose this insurance.,226,unknown,0,unknown,Servicing & Policy Admin,Service Request,Unknown,Misrepresentation / Incomplete Explanation,Anger,High,Event: Customer sought insurance from ICICI Lombard. Process: The insurance is described as very poor and creates problems during claims. Outcome: Customer advises others not to choose this insurance.,1,1,Low
https://twitter.com/Policygaido/status/2054885624486715774#m,"May 14, 2026","⚠️ Here is what could be happening: Because your Elevate policy is only 11 months old, ICICI Lombard saying ""History ailment not clear"" means they have launched a Pre-Existing Disease (PED) investigation. Kidney issues often progress silently over years, so they are actively looking for proof you knew about it before buying the policy.",337,unknown,1,health,Claims Experience,Claims Processing,Claims / TPA,Misrepresentation / Incomplete Explanation,Confusion,High,"ICICI Lombard is investigating a pre-existing condition ('History ailment not clear') for a kidney issue on an 11-month-old Elevate policy, implying they suspect the policyholder knew about it before purchase.",3,2,Medium
https://twitter.com/aditya5888/status/2054825274060177552#m,"May 14, 2026","@ICICILombard @irdainsurance @MantriSanjeev We have already served notice to ICICI Lombard, but there is still no proper response or resolution.  My claim has been pending since Dec 2025. Really unable to understand what IRDAI India is doing for policyholders.",260,unknown,1,unknown,Claims Experience,Claims Processing,Unknown,Process / Documentation Friction,Anger,High,"The customer's claim with ICICI Lombard has been pending since December 2025, despite serving notice, indicating a lack of proper response or resolution.",4,3,Medium
https://twitter.com/NIKHILLJHA/status/2054754952590057930#m,"May 14, 2026","ICICI Lombard is doing massively well in its health insurance part  Under the new CEO, ICICI Lombard has completely reformed all products,  Led by 1. ICICI Lomard Elevate(Base policy) 2. ICICI Lombard Activate booster(Super top up) 3. ICICI Lombard Critishield(Critical illness policy)  Driven by these products, ICICI Lombard has a growth of 54% in FY26,  This growth is massive and will continue in FY27,  Over the last few years, We have seen ICICI Lombard helping customers with genuine claims, We dont find any malicious intent in the company to knowingly reject claims,  In fact, one of the very top officials told us, ""We are ready to pay the claim when it's genuine and meets all terms and conditions of the policy.""  Very, very happy with the claim and underwriting support at ICICI Lombard  P.S. We never do a paid post. Just genuinely happy with ICICI Lombard,",871,unknown,19,health,Servicing & Policy Admin,Claims Experience,Unknown,Unknown,Resignation,Medium,"ICICI Lombard has reformed all products and is helping customers with genuine claims, with no malicious intent to knowingly reject claims. A top official stated they are ready to pay genuine claims meeting policy terms and conditions. The user is very happy with the claim and underwriting support at ICICI Lombard.",2,3,Medium
https://twitter.com/drprashantmish6/status/2054564178913091728#m,"May 13, 2026","Now a days i feel PSU insurance are much better , private players are now going towards Star and care direction  but avoid Star and Care , although i am having ICICI lombard but I feel New India insurance and National Insurance are much better then private players .",266,unknown,13,unknown,Servicing & Policy Admin,Claims Experience,Unknown,Unknown,Resignation,Medium,"The user feels PSU insurance are better than private players like ICICI Lombard, Star, and Care. They are having ICICI Lombard but believe New India Insurance and National Insurance are much better.",1,1,Medium
https://twitter.com/ICICILombard/status/2054486054766354901#m,"May 13, 2026","Dear Harendra,  Thank you for contacting ICICI Lombard.  We have received your case addressed and have noted the details with regard to claim number 22xxxxxxx108.  We are reviewing the case and you can expect an update from us within next 2 working days.  We appreciate your patience and assure you of our full attention to the matter.",335,unknown,0,unknown,Servicing & Policy Admin,Claims Experience,Unknown,Unknown,Resignation,Medium,"ICICI Lombard has received a claim number and is reviewing the case, expecting an update within 2 working days. They appreciate the user's patience and assure full attention.",4,5,Medium
https://twitter.com/OmPraka28211743/status/2054288040974246101#m,"May 12, 2026",Hello icici lombard team my operation schedule for admit 13/05/2026 and my surgery will done on 14/05/2026. After surgery I will file case on consumer forum and taken legal action. @MoHFW_INDIA @rashtrapatibhvn. After so many tries you give same reply,251,unknown,1,unknown,Servicing & Policy Admin,Claims Experience,Unknown,Process / Documentation Friction,Anger,High,"The user's operation schedule for admission is 13/05/2026 and surgery on 14/05/2026. After surgery, they plan to file a case in the consumer forum and take legal action against ICICI Lombard due to receiving the same reply after multiple tries.",1,1,Medium
https://twitter.com/lovesunnysingh/status/2054111993402171576#m,"May 12, 2026","@ICICILombard Dear ICICI Lombard Team, I am writing to express my extreme dissatisfaction with the continuous delay and the conflicting information provided regarding my OPD reimbursement claim. Policy Number: 100042396500 Interaction ID: 9160320264637 / 924042026772.arrangeacal",279,unknown,2,health,Servicing & Policy Admin,Claims Experience,Claims / TPA,Process / Documentation Friction,Anger,High,Event: OPD reimbursement claim. Process: Continuous delay and conflicting information provided. Outcome: Extreme dissatisfaction with the claim process.,3,3,Medium
https://twitter.com/BunnyGadh/status/2053776835335594048#m,"May 11, 2026",@jagograhakjago @ijournal @ICICILombard @MoHFW_INDIA @AndheriLOCA @zoru75 @TheDeshBhakt @mymalishka @RBI @ICICIBank_Care @timesofindia @mid_day ICICI LOMBARD is failing time and again to renew my policy and now sitting in their office since an hour. VERY POOR SERVICE.,268,Andheri,2,general,Servicing & Policy Admin,Policy Renewal,Branch / Customer Service,Process / Documentation Friction,Anger,High,Event: Policy renewal. Process: Failing to renew policy and sitting in their office for an hour. Outcome: Very poor service.,3,3,Medium
https://twitter.com/AnshulKhanna9/status/2053499123178066183#m,"May 10, 2026",@ICICILombard  i have written several emails for sharing my companies MIS but whether it is lokpal or any senior grievance officer nobody is responding to my emails I have been doing them for last few month. We are a corporate client of icici Lombard for last ३ yrs & prior also,278,unknown,0,unknown,Servicing & Policy Admin,Policy Administration,Unknown,Communication / Language Barrier,Resignation,Medium,"Event: Corporate client for 3 years. Process: Written several emails for sharing company MIS, but no response from lokpal or senior grievance officer for last few months. Outcome: No response to emails.",2,2,Medium
https://twitter.com/ranadastidar/status/2053463348478648576#m,"May 10, 2026","@ICICILombard Ported my 20-year-old health insurance policy to ICICI Lombard with trust, but at the time of medical emergency you rejected my claim. This is nothing but harassment of customers mentally and financially during critical situations. Stop cheating customers.",270,unknown,0,health,Claims Experience,Claims Rejection,Unknown,Misrepresentation / Incomplete Explanation,Betrayal,High,"Ported a 20-year-old health insurance policy to ICICI Lombard, but the claim was rejected during a medical emergency, leading to customer harassment.",2,1,Medium
https://twitter.com/ranadastidar/status/2053461039665312062#m,"May 10, 2026","@PBHelpDesk Ported my 20+ years old health policy to ICICI Lombard through Policybazaar. At claim time, ICICI Lombard rejected it and no support from Policybazaar. Customers deserve support, not harassment during medical emergencies. #Policybazaar #ICICILombard",261,unknown,2,health,Claims Experience,Claims Rejection,Agent / Advisor,Misrepresentation / Incomplete Explanation,Betrayal,High,"Ported a 20+ year old health policy to ICICI Lombard through Policybazaar; ICICI Lombard rejected the claim at the time of medical emergency, and Policybazaar offered no support.",2,1,Medium
https://twitter.com/AmitMishra4All/status/2052796517040500970#m,"May 8, 2026","Never take any Policy from ICICI Lombard Insurance.They are thugs who betray u at d crunch moment and u r forced 2 pay from your pocket to be discharged from the hospital. I had the sour experience, don't be a sufferer like me as they don't care your ill-health & make most of it.",280,unknown,1,health,Claims Experience,Claims Rejection,Unknown,Misrepresentation / Incomplete Explanation,Betrayal,High,"Customer advises against buying any policy from ICICI Lombard, stating they are betrayed at a crunch moment and forced to pay from their pocket for hospital discharge, having had a sour experience where the insurer made the most of their ill-health.",2,1,Medium
https://twitter.com/soniakhil1992/status/2052330452984410358#m,"May 7, 2026","Despite being a policyholder, only the rear bumper is being covered under claim MOT17587271 even though both front & rear were damaged in the accident. This has been a very bad experience with ICICI Lombard. I will never recommend or suggest your insurance to anyone.",267,unknown,0,unknown,Claims Experience,Claims Processing,Claims / TPA,Misrepresentation / Incomplete Explanation,Anger,High,"Event: An accident occurred where both front and rear bumpers were damaged. Process: A claim was filed with ICICI Lombard (claim MOT17587271). Outcome: Only the rear bumper was covered, despite both being damaged, leading to a negative experience and a vow not to recommend the insurer.",3,2,Medium
https://twitter.com/AarifSpeaks/status/2052266261594394667#m,"May 7, 2026","Praveen Kumar's experience renewing scooter insurance in 2024 only to face extensive delays, paperwork demands, and partial claim approval of ₹15,600 against a ₹27,000 repair estimate after an accident. Images illustrate the story with a photo of the man, a smartphone screenshot displaying the approved ₹15,600 amount, and the ICICI Lombard scooter policy document showing coverage details",390,unknown,0,health,Claims Experience,Claims Processing,Claims / TPA,Process / Documentation Friction,Resignation,Medium,"Praveen Kumar experienced extensive delays and paperwork demands for a scooter insurance renewal in 2024, resulting in a partial claim approval of ₹15,600 against a ₹27,000 repair estimate after an accident with ICICI Lombard.",3,3,Medium
https://twitter.com/DivaDevs/status/2051984163880972292#m,"May 6, 2026","@ICICILombard My family and I chose ICICI Lombard for our health insurance, but you guys have the worst customer service!  Unable to connect with your advisors, and instead I am only connected to your bot Riya instead.  As a customer it’s very frustrating!",256,unknown,1,health,Servicing & Policy Admin,Customer Service,Digital / App / Website,Communication / Language Barrier,Anger,High,"A family chose ICICI Lombard for health insurance but experienced frustration due to the worst customer service, being unable to connect with advisors and only reaching a bot named Riya.",2,2,Medium
https://twitter.com/ansh__bx/status/2051967996667863505#m,"May 6, 2026","you recommend ICICI Lombard elevate I have that , My wife diagnosed with CML on  June 25 the diagnosis was done based on the Blood test done with the free test offered in the policy , I informed them after that also asked for opd claim now on renewal also I informed them",271,unknown,2,health,Claims Experience,Claims Processing,Agent / Advisor,Process / Documentation Friction,Confusion,Medium,The customer has ICICI Lombard Elevate policy and informed them after his wife was diagnosed with CML on June 25 based on a free blood test offered by the policy. He also asked for OPD claim and informed them again during renewal.,3,3,Medium
https://twitter.com/lalit1717/status/2051955721588363701#m,"May 6, 2026","Harassment by @ICICILombard  Patient ready to release by hospital but due to unnecessary delay by icici lombard team, patient and relatives are waiting since hours at hospital. Worst service ever. Boycott @ICICILombard",218,unknown,1,health,Claims Experience,Claims Processing Delay,Claims / TPA,Process / Documentation Friction,Anger,High,"Patient ready to be released by hospital but due to unnecessary delay by ICICI Lombard team, patient and relatives are waiting since hours at hospital.",3,2,Medium
https://twitter.com/ajitgurnani/status/2051918042171679179#m,"May 6, 2026",I have submitted the originals at the customer service desk of  ICICI Lombard head office at Prabhadevi Mumbai- after speaking to the executive at the desk. He confirmed that he is couriering the originals to the office in Hyderabad. Attaching a picture of the bar code,269,"Mumbai, India",2,unknown,Servicing & Policy Admin,Document Submission,Branch / Customer Service,Process / Documentation Friction,Confusion,Medium,"Customer submitted original documents at ICICI Lombard head office customer service desk, and the executive confirmed he is couriering them to the Hyderabad office.",3,3,Medium
https://twitter.com/RahulAg63377229/status/2051875311768449288#m,"May 6, 2026",@ICICILombard @getpazcare ....  Do you take customers seriously? My case is pending since last week with no callback or resolution. This experience has been extremely disappointing. I’ll reconsider ICICI Lombard insurance and advise my friends/family likewise. #ApproveMyClaim,276,unknown,1,unknown,Claims Experience,Claim Processing Delay,Unknown,Process / Documentation Friction,Betrayal,High,"Customer's case is pending since last week with no callback or resolution from ICICI Lombard and Pazcare, leading to disappointment and reconsideration of insurance.",2,2,Medium
https://twitter.com/shivangtwits/status/2051530806313861208#m,"May 5, 2026","@ICICILombard @ICICIDirectcare My VW car is stuck at PPS Motors, Khajaguda (Hyd) under claim MOT17564331. 10+ days, no response from ICICI Lombard surveyor. Calls unanswered from both sides. Need urgent resolution.  My daily ritual.",232,"Khajaguda, Hyderabad, India",4,motor,Claims Experience,Claims Processing Delay,Claims / TPA,Process / Documentation Friction,Anger,High,"The user's VW car is stuck at a service center under claim MOT17564331, with no response from the ICICI Lombard surveyor for over 10 days. Calls are unanswered, and urgent resolution is needed.",4,3,Medium
https://twitter.com/RajaKumar947294/status/2051304656421466405#m,"May 4, 2026","@ICICILombard @airtelbank @RBI @HDFCLIFE @HDFCERGOGIC @aajtak @ZeeNews @indSupremeCourt  ICICI Lombard and Airtel Payments Bank have colluded to defraud me. I have submitted all the necessary documents related to the claim; yet, they have been harassing me for the past two years.",280,unknown,5,unknown,Claims Experience,Claim Harassment,Unknown,Process / Documentation Friction,Anger,High,"The user alleges that ICICI Lombard and Airtel Payments Bank have colluded to defraud them, and despite submitting all necessary documents for a claim, they have been harassed for two years.",3,2,Medium
https://twitter.com/ErDushyantG/status/2051280721499828649#m,"May 4, 2026","@CRED_support I purchased a Motor Insurance policy 3001/O/396763810/00/000 from ICICI Lombard through your app while in India. My wife had an accident, and my insurance claim has been rejected by the ICICI surveyor, saying that the policy issued has discrepancies. Please help.",277,India,1,motor,Claims Experience,Claim Rejection,Digital / App / Website,Misrepresentation / Incomplete Explanation,Betrayal,High,"The user purchased a motor insurance policy from ICICI Lombard through the CRED app. Their wife had an accident, but the claim was rejected by the ICICI Lombard surveyor due to alleged discrepancies in the policy.",3,2,Medium
https://twitter.com/LeekhaVarun/status/2051236079752376655#m,"May 4, 2026","🚨 Unfair Insurance Claim Rejection 🚨    My motor insurance claim (No. MOT17351626) with ICICI Lombard has been wrongfully rejected citing vague “misrepresentation” without any proof or details.    No survey report shared. No clear explanation given. Just a generic denial of a genuine claim.   This is not just about one claim it’s about accountability and fair treatment of policyholders.    I have escalated the matter and am approaching the Insurance Ombudsman.   No response from Icici lombard even after several mails  @ICICILombard policyholders deserve transparency, not arbitrary rejections.  @ICICILombard @ICICIBank_Care @icicipolicyholders @ICICILombard @irdaindia @irdainsurance @jagograhakjago @ConsumerReports @ConsumerRightX deserve transparency, not arbitrary rejections.  #InsuranceClaim #ConsumerRights #UnfairPractice #IRDAI #Accountability",859,unknown,0,motor,Claims Experience,Claim Rejection,Unknown,Misrepresentation / Incomplete Explanation,Anger,High,The user's motor insurance claim (No. MOT17351626) with ICICI Lombard was wrongfully rejected for 'misrepresentation' without proof or survey report. The user has escalated the matter to the Insurance Ombudsman and notes no response from ICICI Lombard after several emails.,4,3,Medium
https://twitter.com/MohitGu67836048/status/2050932028863074460#m,"May 3, 2026",@ICICILombard @LombardICICI @irdaindia @irdainsurance @PMOIndia  सभी नागरिकों से मेरी अपील है कि आप लोग ICICI Lombard से हेल्थ इंश्योरेंस बिल्कुल भी ना करें ये लोग क्लेम के वक्त बहुत परेशान करते हैं और आपका क्लेम क्लेम भी रिजेक्ट कर देते हैं कृपया कंसर्न डिपार्टमेंट ध्यान दे,275,unknown,0,health,Claims Experience,Claims Rejection,Unknown,Process / Documentation Friction,Anger,High,"Event: Health insurance policy with ICICI Lombard. Process: Filed a claim. Outcome: Claim was rejected, causing distress and a warning to others.",4,3,Medium
https://twitter.com/MohitGu67836048/status/2050928119637483858#m,"May 3, 2026","@ICICILombard @LombardICICI @irdaindia @irdainsurance @PMOIndia  सभी की जानकारी के लिए आप लोग कृपया ICICI Lombard से अपना हेल्थ इंश्योरेंस बिल्कुल भी ना करें, यह लोग क्लेम के वक्त आपका क्लेम रिजेक्ट कर देते हैं, कृपया सावधान रहे हैं ,आम नागरिक बस हर साल प्रीमियम भरता रहे",271,unknown,0,health,Claims Experience,Claims Rejection,Unknown,Process / Documentation Friction,Resignation,High,"Event: Purchased health insurance from ICICI Lombard. Process: Attempted to claim. Outcome: Claim was rejected, leading to a warning about the insurer's practices and the ongoing burden of premium payments.",4,3,Medium
https://twitter.com/MohitGu67836048/status/2050926816895066605#m,"May 3, 2026","@ICICILombard @LombardICICI @irdaindia @irdainsurance ,@PMOIndia सभी की जानकारी के लिए आप लोग ICICI Lombard से आप अपना हेल्थ इंश्योरेंस बिल्कुल भी ना करें ,ये लोग क्लेम के वक्त परेशान करते हैं, और end आपके क्लेम को रिजेक्ट करदेते हैं। मेरे साथ भी ऐसा ही हुआ है. धन्यवाद",269,unknown,1,health,Claims Experience,Claims Rejection,Unknown,Process / Documentation Friction,Anger,High,"Event: Had a health insurance policy with ICICI Lombard. Process: Faced difficulties during the claims process. Outcome: The claim was ultimately rejected, with the commenter stating this happened to them and warning others.",4,3,Medium
https://twitter.com/balajiworld/status/2049797065316982800#m,"Apr 30, 2026","Like @svembu says, I once returned from USA. I also bought Nexon EV.  Today I spent 6 hours in the sun because @TataMotors didn’t send roadside assistance. My insurer ICICI Lombard helped tow the vehicle. To Prerana Motors who say they’ll do nothing till Monday!",262,USA,28,unknown,Servicing & Policy Admin,Claims Experience,Agent / Advisor,Process / Documentation Friction,Anger,High,"Customer returned from USA, bought Nexon EV, and spent 6 hours in the sun because Tata Motors didn’t send roadside assistance; ICICI Lombard helped tow the vehicle.",3,2,Medium
https://twitter.com/__Amar_S/status/2049764609037627584#m,"Apr 30, 2026","Can I get a call ? I would like to discuss about the pre-existing damaged with evidences , I am not asking for existing damages , if icici Lombard is still unclear about damage I am asking claim for .. I am ready to explain it again..",234,unknown,1,health,Servicing & Policy Admin,Claims Experience,Unknown,Misrepresentation / Incomplete Explanation,Confusion,Medium,"Customer wants to discuss pre-existing damages with evidence, asking for a claim for damages if ICICI Lombard is unclear, and is ready to explain again.",4,3,Medium
https://twitter.com/ICICILombard/status/2049481041388187956#m,"Apr 29, 2026","Dear Amardeep,    Thank you for contacting ICICI Lombard.  We have received your case claim number MOT1XXXXXXX.  We are reviewing the case, and you can expect an update from us within 4 working days.  In case you'd like to connect, you can reach us on 022-66877111, Monday to Friday, between 10 am and 7 pm.  We appreciate your patience and assure you of our full attention to the matter.",388,unknown,0,unknown,Servicing & Policy Admin,Claims Experience,Claims / TPA,Process / Documentation Friction,Resignation,Medium,"ICICI Lombard acknowledges receipt of a claim number (MOT1XXXXXXX) and states they are reviewing the case, expecting an update within 4 working days. They provide a contact number for further assistance.",3,3,Medium
https://twitter.com/a_sajo/status/2049471118197854667#m,"Apr 29, 2026","And I thought it's only me. ICICI Lombard even thinks my insurance expired in 201* (yep, actual figure, replete with a star, as per them) so I need to pay a massive premium almost at par for a new vehicle for a 16 yr old one..",226,unknown,0,unknown,Servicing & Policy Admin,Claims Experience,Digital / App / Website,Misrepresentation / Incomplete Explanation,Anger,High,"The user is complaining that ICICI Lombard believes their insurance expired in 201*, leading to a significantly higher premium for a 16-year-old vehicle, almost equivalent to that of a new vehicle.",2,2,Medium
https://twitter.com/ICICILombard/status/2049453433271337359#m,"Apr 29, 2026","Dear Sir,    We hope you are keeping well.   Thank you for writing to us.  Thank you for writing to us. We acknowledge receipt of your query regarding the difference in the premium amount displayed on the ICICI Lombard application.  We are reviewing the case and you can expect an update from us within 4 working days.  We understand that waiting for a resolution may not have been easy, and we truly value your patience through the process.   Thank you for giving us the opportunity to serve you.",497,unknown,0,unknown,Servicing & Policy Admin,Claims Experience,Digital / App / Website,Process / Documentation Friction,Resignation,Medium,"ICICI Lombard acknowledges a query regarding the difference in premium amount displayed on their application and states they are reviewing the case, expecting an update within 4 working days. They apologize for the wait.",3,3,Medium
